Rank,Name,Industry,Revenue,Profit,Employees,Headquarters[note 1],State-owned,Ref.
1,Walmart,Retail,"$611,289","$11,680","2,100,000",United States,No,#cite_note-W-1
2,Saudi Aramco,Oil and gas,"$603,651","$159,069","70,496",Saudi Arabia,Yes,#cite_note-5
3,State Grid Corporation of China,Electricity,"$530,009","$8,192","870,287",China,Yes,#cite_note-6
4,Amazon,Retail,"$513,983","−$2,722","1,541,000",United States,No,#cite_note-7
5,Vitol,Commodities,"$505,000","$15,000","1,560",Switzerland,No,#cite_note-8
6,China National Petroleum Corporation,Oil and gas,"$483,019","$21,080","1,087,049",China,Yes,#cite_note-10
7,China Petrochemical Corporation,Oil and gas,"$471,154","$9,657","527,487",China,Yes,#cite_note-11
8,ExxonMobil,Oil and gas,"$413,680","$55,740","63,000",United States,No,#cite_note-:0-12
9,Apple,Electronics,"$394,328","$99,803","164,000",United States,No,#cite_note-13
10,Shell,Oil and gas,"$386,201","$20,120","93,000",United Kingdom,No,#cite_note-14
11,UnitedHealth Group,Healthcare,"$324,162","$20,120","400,000",United States,No,#cite_note-15
12,CVS Health,Healthcare,"$322,467","$4,149","259,500",United States,No,#cite_note-16
13,Trafigura,Commodities,"$318,476","$6,994","12,347",Singapore,No,#cite_note-17
14,China State Construction Engineering,Construction,"$305,885","$4,234","382,492",China,Yes,#cite_note-18
15,Berkshire Hathaway,Financials,"$302,089","−$22,82","383,000",United States,No,#cite_note-19
16,Volkswagen Group,Automotive,"$293,685","$15,233","675,805",Germany,No,#cite_note-20
17,Uniper,Electricity,"$288,309","−$19,96","7,008",Germany,Yes,#cite_note-21
18,Alphabet,Information technology,"$282,836","$59,972","190,234",United States,No,#cite_note-22
19,McKesson,Healthcare,"$276,711","$3,560","48,000",United States,No,#cite_note-23
20,Toyota,Automotive,"$274,491","$18,110","375,235",Japan,No,#cite_note-24
21,TotalEnergies,Oil and gas,"$263,310","$20,526","101,279",France,No,#cite_note-25
22,Glencore,Commodities,"$255,984","$17,320","81,284",Switzerland,No,#cite_note-26
23,BP,Oil and gas,"$248,891","−$2,487","67,600",United Kingdom,No,#cite_note-27
24,Chevron,Oil and gas,"$246,252","$35,465","43,846",United States,No,#cite_note-28
25,AmerisourceBergen,Healthcare,"$238,587","$1,699","41,500",United States,No,#cite_note-29
26,Samsung Electronics,Electronics,"$234,129","$42,398","270,372",South Korea,No,#cite_note-30
27,Costco,Retail,"$226,954","$5,844","304,000",United States,No,#cite_note-31
28,Foxconn,Electronics,"$222,535","$4,751","767,062",Taiwan,No,#cite_note-32
29,Industrial and Commercial Bank of China,Financials,"$214,766","$53,589","427,587",China,Yes,#cite_note-33
30,China Construction Bank,Financials,"$202,753","$48,145","376,682",China,Yes,#cite_note-34
31,Microsoft,Information technology,"$198,270","$72,738","221,000",United States,No,#cite_note-35
32,Stellantis,Automotive,"$188,888","$17,669","272,367",Netherlands,No,#cite_note-36
33,Agricultural Bank of China,Financials,"$187,061","$38,524","452,258",China,Yes,#cite_note-37
34,Ping An Insurance,Financials,"$181,566","$12,454","344,223",China,No,#cite_note-38
35,Cardinal Health,Healthcare,"$181,364",−$933,"46,035",United States,No,#cite_note-39
36,Cigna,Healthcare,"$180,516","$6,668","70,231",United States,No,#cite_note-40
37,Marathon Petroleum,Oil and gas,"$180,012","$14,516","17,800",United States,No,#cite_note-41
38,Phillips 66,Oil and gas,"$175,702","$11,024","13,000",United States,No,#cite_note-42
39,Sinochem,Chemicals,"$173,834",–$1,"220,760",China,Yes,#cite_note-43
40,China Railway Engineering Corporation,Construction,"$171,669","$2,035","314,792",China,Yes,#cite_note-44
41,Valero Energy,Oil and gas,"$171,189","$11,528","9,743",United States,No,#cite_note-:2-45
42,Gazprom,Oil and gas,"$167,832","$17,641","468,000",Russia,Yes,#cite_note-46
43,Cargill,Conglomerate,"$165,000",...,"155,000",United States,No,#cite_note-47
44,China National Offshore Oil Corporation,Oil and gas,"$164,762","$16,988","81,775",China,Yes,#cite_note-48
45,China Railway Construction Corporation,Construction,"$163,037","$1,800","342,098",China,Yes,#cite_note-49
46,Baowu,Steel,"$161,698","$2,493","245,675",China,Yes,#cite_note-50
47,Schwarz Gruppe,Retail,"$159,800",...,"575,000",Germany,No,#cite_note-51
48,Mitsubishi Group,Conglomerate,"$159,371","$8,723","79,706",Japan,No,#cite_note-52
49,Ford Motor Company,Automotive,"$158,057","−$1,981","173,000",United States,No,#cite_note-53
50,Mercedes-Benz Group,Automotive,"$157,403","$15,252","168,797",Germany,No,#cite_note-54
